UNIDAD ORGANICA;GENERICO;ORDEN;ESPECIFICA;IMPORTE;FACTOR
SUB GERENCIA DE OBRAS PRIVADAS;4.1.6 INDEPENDIZACION O PARCELACION DE TERRENO RUSTICO CON HABILITACION URBANA ;1;Derecho de Tramite;333.90;0.0607
SUB GERENCIA DE OBRAS PRIVADAS;4.1.7.1 VIVIENDA UNIFAMILIAR DE HASTA 120 M2 CONSTRUIDOS, SIEMPRE QUE CONSTITUYA LA ÚNICA EDIFICACIÓN EN EL LOTE. (APROB. AUTOM. CON FIRMA PROFES.);1;Derecho de Tramite;210.70;0.0383
SUB GERENCIA DE OBRAS PRIVADAS;4.1.7.1 VIVIENDA UNIFAMILIAR DE HASTA 120 M2 CONSTRUIDOS, SIEMPRE QUE CONSTITUYA LA ÚNICA EDIFICACIÓN EN EL LOTE. (APROB. AUTOM. CON FIRMA PROFES.);2;Verificacion Tecnica;176.00;0.032
SUB GERENCIA DE OBRAS PRIVADAS;4.1.7.2 AMPLIACION DE VIVIENDA UNIFAMILIAR, CUYA EDIFIC. ORIG. CUENTE CON LIC. CONSTRUCCIÓN DECLAR. FAB. O EDIFIC. SIN CARGA, Y LA SUMATORIA DEL ÁREA TECHADA DE AMBAS NO SUPERE LOS 200 M2;1;Derecho de Tramite;200.80;0.0365
SUB GERENCIA DE OBRAS PRIVADAS;4.1.7.2 AMPLIACION DE VIVIENDA UNIFAMILIAR, CUYA EDIFIC. ORIG. CUENTE CON LIC. CONSTRUCCIÓN DECLAR. FAB. O EDIFIC. SIN CARGA, Y LA SUMATORIA DEL ÁREA TECHADA DE AMBAS NO SUPERE LOS 200 M2;2;Verificacion Tecnica;176.00;0.032
SUB GERENCIA DE OBRAS PRIVADAS;4.1.7.3 LAS AMPLIACIONES Y REMODELACIONES CONSIDERADAS OBRAS MENORES, SEGÚN LO ESTABLECIDO EN LA NORMA TÉCNICA G.040 “DEFINICIONES” DEL REGLAMENTO NACIONAL DE EDIFI CACIONES – RNE.;1;Derecho de Tramite;190.30;0.0346
SUB GERENCIA DE OBRAS PRIVADAS;4.1.7.3 LAS AMPLIACIONES Y REMODELACIONES CONSIDERADAS OBRAS MENORES, SEGÚN LO ESTABLECIDO EN LA NORMA TÉCNICA G.040 “DEFINICIONES” DEL REGLAMENTO NACIONAL DE EDIFI CACIONES – RNE.;2;Verificacion Tecnica;176.00;0.032
SUB GERENCIA DE OBRAS PRIVADAS;4.1.7.4 REMODELACIÓN DE VIVIENDA UNIFAMILIAR, SIEMPRE  QUE NO IMPLIQUE  MODIFICACIÓN ESTRUCTURAL, CAMBIO DE USO Y/O INCREMENTO DE ÁREA TECHADA.;1;Derecho de Tramite;193.10;0.0351
SUB GERENCIA DE OBRAS PRIVADAS;4.1.7.4 REMODELACIÓN DE VIVIENDA UNIFAMILIAR, SIEMPRE  QUE NO IMPLIQUE  MODIFICACIÓN ESTRUCTURAL, CAMBIO DE USO Y/O INCREMENTO DE ÁREA TECHADA.;2;Verificacion Tecnica;176.00;0.032
SUB GERENCIA DE OBRAS PRIVADAS;4.1.7.5 CONSTRUCCIÓN DE CERCOS DE MÁS DE 20 M LONGITUD, SIEMPRE QUE EL INMUEBLE NO SE ENCUENTRE BAJO EL RÉGIMEN EN QUE COEXISTAN SECCIONES DE PROPIEDAD EXCLUSIVA Y PROPIEDAD COMÚN.;1;Derecho de Tramite;188.70;0.0343
SUB GERENCIA DE OBRAS PRIVADAS;4.1.7.5 CONSTRUCCIÓN DE CERCOS DE MÁS DE 20 M LONGITUD, SIEMPRE QUE EL INMUEBLE NO SE ENCUENTRE BAJO EL RÉGIMEN EN QUE COEXISTAN SECCIONES DE PROPIEDAD EXCLUSIVA Y PROPIEDAD COMÚN.;2;Verificacion Tecnica;176.00;0.032
SUB GERENCIA DE OBRAS PRIVADAS;4.1.7.6 LA DEMOLICIÓN TOTAL DE EDIFICACIONES DE HASTA TRES (3) PISOS DE ALTURA, QUE NO CUENTEN CON SEMISÓTANOS Y SÓTANOS, SIEMPRE QUE NO HAGA USO DE EXPLOSIVOS. ;1;Derecho de Tramite;202.40;0.0368
SUB GERENCIA DE OBRAS PRIVADAS;4.1.7.6 LA DEMOLICIÓN TOTAL DE EDIFICACIONES DE HASTA TRES (3) PISOS DE ALTURA, QUE NO CUENTEN CON SEMISÓTANOS Y SÓTANOS, SIEMPRE QUE NO HAGA USO DE EXPLOSIVOS. ;2;verificacion Tecnica;176.00;0.032
SUB GERENCIA DE OBRAS PRIVADAS;4.1.8.1.1 EDIFICAC. PARA FINES DE VIVIENDA UNIFAMIL., MULTIFAM., QUINTA O CONDOMIN., VIVIEND. UNIFAMIL. Y/O MULTIFAMIL., NO MAYORES A (05) PISOS, SIEMPRE QUE EL PROY. TENGA MAX. 3000 M2 DE AREA CONST.;1;Derecho de Tramite;366.90;0.0667
SUB GERENCIA DE OBRAS PRIVADAS;4.1.8.1.1 EDIFICAC. PARA FINES DE VIVIENDA UNIFAMIL., MULTIFAM., QUINTA O CONDOMIN., VIVIEND. UNIFAMIL. Y/O MULTIFAMIL., NO MAYORES A (05) PISOS, SIEMPRE QUE EL PROY. TENGA MAX. 3000 M2 DE AREA CONST.;2;Verificacion Tecnica;203.50;0.037
SUB GERENCIA DE OBRAS PRIVADAS;4.1.8.1.3 OBRAS DE AMPLIACIÓN O REMODELACIÓN DE UNA EDIFICACIÓN EXISTENTE CON MODIFICACIÓN ESTRUCTURAL, AUMENTO DE ÁREA TECHADA O CAMBIO DE USO.;1;Derecho de Tramite;350.40;0.0637
SUB GERENCIA DE OBRAS PRIVADAS;4.1.8.1.3 OBRAS DE AMPLIACIÓN O REMODELACIÓN DE UNA EDIFICACIÓN EXISTENTE CON MODIFICACIÓN ESTRUCTURAL, AUMENTO DE ÁREA TECHADA O CAMBIO DE USO.;2;Verificacion Tecnica;203.50;0.037
SUB GERENCIA DE OBRAS PRIVADAS;4.1.8.1.4 DEMOLICIÓN PARCIAL O TOTAL DE EDIFICACIONES HASTA CINCO (5) PISOS DE ALTURA Y/O QUE CUENTEN CON SEMISÓTANOS Y SÓTANOS, SIEMPRE QUE NO REQUIERA EL USO DE EXPLOSIVOS.;1;Derecho de Tramite;354.20;0.0644
SUB GERENCIA DE OBRAS PRIVADAS;4.1.8.1.4 DEMOLICIÓN PARCIAL O TOTAL DE EDIFICACIONES HASTA CINCO (5) PISOS DE ALTURA Y/O QUE CUENTEN CON SEMISÓTANOS Y SÓTANOS, SIEMPRE QUE NO REQUIERA EL USO DE EXPLOSIVOS.;2;Verificacion Tecnica;203.50;0.037
SUB GERENCIA DE OBRAS PRIVADAS;7.1.10  OCUPACIÓN Y/O INTERFERENCIA DE LA VÍA PÚBLICA CON MATERIALES DE CONSTRUCCIÓN, DESMONTE U OTROS. (POR DÍA);3;Ocupación con andamios ;32.70;0.005952
SUB GERENCIA DE OBRAS PRIVADAS;7.1.10  OCUPACIÓN Y/O INTERFERENCIA DE LA VÍA PÚBLICA CON MATERIALES DE CONSTRUCCIÓN, DESMONTE U OTROS. (POR DÍA);4;Ocupación por desmonte ;78.60;0.014286
SUB GERENCIA DE OBRAS PRIVADAS;7.1.10  OCUPACIÓN Y/O INTERFERENCIA DE LA VÍA PÚBLICA CON MATERIALES DE CONSTRUCCIÓN, DESMONTE U OTROS. (POR DÍA);5;Ocupación con cerco perimétrico ;39.30;0.007143
SUB GERENCIA DE COMERCIALIZACION Y PROMOCION EMPRESARIAL;AUTORIZACIÓN PARA LA INSTALACIÓN DE JUEGOS MECÁNICOS, INFLABLES, INFANTILES TIPO LABERINTO, TUBULARES Y PLAYGROUND EN LA VÍA PÚBLICA O PRIVADA (POR DÍA Y POR JUEGO, PREVIA EVALUACIÓN);1;Pago por Derecho de uso por juego/día ;18.70;0.003409
SUB GERENCIA DE COMERCIALIZACION Y PROMOCION EMPRESARIAL;AUTORIZACIÓN PARA EXPENDIO O VENTA  DE BEBIDAS ELABORADAS CON PLANTAS MEDICINALES, EN EMOLIENTES U OTRAS INFUSIONES, DE QUINUA, MACA, KIWICHA O SIMILARES  EN LA VIA PUBLICA (EN VIAS AUTORIZADA);1;Pago por derecho de uso del espacio público por mes ;37.80;0.006869
SUB GERENCIA DE COMERCIALIZACION Y PROMOCION EMPRESARIAL;AUTORIZACIÓN DEL ESPACIO PÚBLICO PARA FUNCION. PUESTOS DE VENTA DE PERIÓDICOS, REVISTAS, LOTERÍAS, ELABORACIÓN DE SELLOS, DUPLICADO DE LLAVES, REPARACIÓN DE RELOJES, ARTESANIA Y OTROS SIMILARES;1;Pago por derecho de uso del espacio público por mes ;62.50;0.011364
SUB GERENCIA DE COMERCIALIZACION Y PROMOCION EMPRESARIAL;AUTORIZACIÓN PARA EL EXPENDIO DE COMIDAS PREPARADAS EN FESTIVIDADES Y ESPECTÁCULOS PÚBLICOS AUTORIZADOS: ÁREA DEL PUESTO ES DE 3X3 ML.;1; Pago por derecho de uso del espacio público por día;18.70;0.003409
SUB GERENCIA DE COMERCIALIZACION Y PROMOCION EMPRESARIAL; AUTORIZACIÓN DE VÍAS PÚBLICAS REGULADAS PARA LA REALIZACIÓN DE ACTIVIDADES ECONÓMICAS ESPORÁDICAS, VALIDA POR UN DÍA.;1;Personas jurídicas ;87.50;0.015909
SUB GERENCIA DE COMERCIALIZACION Y PROMOCION EMPRESARIAL; AUTORIZACIÓN DE VÍAS PÚBLICAS REGULADAS PARA LA REALIZACIÓN DE ACTIVIDADES ECONÓMICAS ESPORÁDICAS, VALIDA POR UN DÍA.;2;Entidades del Estado ;62.50;0.011364
SUB GERENCIA DE COMERCIALIZACION Y PROMOCION EMPRESARIAL; AUTORIZACIÓN DE VÍAS PÚBLICAS REGULADAS PARA LA REALIZACIÓN DE ACTIVIDADES ECONÓMICAS ESPORÁDICAS, VALIDA POR UN DÍA.;3;Personas Naturales ;25.00;0.004545
SUB GERENCIA DE COMERCIALIZACION Y PROMOCION EMPRESARIAL;AUTORIZACIÓN DEL USO DE ESPACIO PÚBLICO EN ZONAS REGULADAS PARA CAMPAÑAS DE NAVIDAD Y AÑO NUEVO Y/O FECHAS ESTABLECIDAS;1;Pago por el derecho de uso y ocupación de vía (por día) ;25.00;0.004545
SUB GERENCIA DE COMERCIALIZACION Y PROMOCION EMPRESARIAL; AUTORIZACIÓN DEL USO DEL ESPACIO PÚBLICO AUTORIZADO PARA LA REALIZACIÓN DE FERIAS ARTESANALES, AGROINDUSTRIALES, GASTRONÓMICAS, ECOLÓGICAS, ESCOLARES, RIFAS, SORTEOS, ENTRE OTRAS SIMILARES;1;Personas jurídicas ;125.00;0.022727
SUB GERENCIA DE COMERCIALIZACION Y PROMOCION EMPRESARIAL; AUTORIZACIÓN DEL USO DEL ESPACIO PÚBLICO AUTORIZADO PARA LA REALIZACIÓN DE FERIAS ARTESANALES, AGROINDUSTRIALES, GASTRONÓMICAS, ECOLÓGICAS, ESCOLARES, RIFAS, SORTEOS, ENTRE OTRAS SIMILARES;2;Entidades del Estado ;75.00;0.013636
SUB GERENCIA DE COMERCIALIZACION Y PROMOCION EMPRESARIAL; AUTORIZACIÓN DEL USO DEL ESPACIO PÚBLICO AUTORIZADO PARA LA REALIZACIÓN DE FERIAS ARTESANALES, AGROINDUSTRIALES, GASTRONÓMICAS, ECOLÓGICAS, ESCOLARES, RIFAS, SORTEOS, ENTRE OTRAS SIMILARES;3; Personas Naturales;37.50;0.006818
SUB GERENCIA DE TRANSPORTE URBANO Y TRANSITO;PAGO POR GUARDIANÍA MUNICIPAL DE VEHÍCULO MENOR INTERNADO EN DEPOSITO MUNICIPAL;1;Pago por Depósito Municipal (por día);5.30;0.000971
SUB GERENCIA DE OBRAS PRIVADAS;4.1.18.7 CERTIFICADO DE PARÁMETROS URBANÍSTICOS Y EDIFICATORIOS.;2;Comercio ;145.80;0.0265
SUB GERENCIA DE OBRAS PRIVADAS;4.1.18.7 CERTIFICADO DE PARÁMETROS URBANÍSTICOS Y EDIFICATORIOS.;3;Industria ;199.70;0.0363
SUB GERENCIA DE EDUCACION Y CULTURA;2.2.2 AUTORIZACION PARA USO DEL TEATRO MUNICIPAL (PARA EVENTO INSTITUCIONAL);3;LOCAL O REGIONAL Medio Turno (4H) Sabado y Domingo;1,256.00;0.228355
SUB GERENCIA DE EDUCACION Y CULTURA;2.2.2 AUTORIZACION PARA USO DEL TEATRO MUNICIPAL (PARA EVENTO INSTITUCIONAL);4;LOCAL O REGIONAL Medio Turnoo (4H) Lunes a Viernes;879.00;0.159813
SUB GERENCIA DE OBRAS PRIVADAS;4.2.1 LICENCIA DE EDIFICACIÓN MODALIDAD A - APROBACIÓN AUTOMÁTICA CON FIRMA DE PROFESIONALES PARA CONSTRUCCIÓN DE UNA VIVIENDA UNIFAMILIAR DE HASTA 120 M2 CONSTRUIDOS, SIEMPRE QUE CONSTITUYA LA ÚNICA ;1;DERECHO DE TRÁMITE;394.90;0.0718
SUB GERENCIA DE OBRAS PRIVADAS;4.1.7.1 VIVIENDA UNIFAMILIAR DE HASTA 120 M2 CONSTRUIDOS, SIEMPRE QUE CONSTITUYA LA ÚNICA EDIFICACIÓN EN EL LOTE. (APROB. AUTOM. CON FIRMA PROFES.);3;Derecho de Trámite;105.30;0.01915
SUB GERENCIA DE OBRAS PRIVADAS;4.1.7.4 REMODELACIÓN DE VIVIENDA UNIFAMILIAR, SIEMPRE  QUE NO IMPLIQUE  MODIFICACIÓN ESTRUCTURAL, CAMBIO DE USO Y/O INCREMENTO DE ÁREA TECHADA.;3;Derecho de trámite;105.30;0.01915
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - A (Aprob. autom. con firma de profesional. Para construccion de viv. unifamiliar de hasta 120 m2);1;Derecho de tramite;395.15;0.071845
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - A  (Aprob. autom. con firma de profesional. Para ampliac. viv. unifamiliar con Lic. Construc., Conform. Obra, Declar. Fab. , area techada no supere los 200 m2);1;Derecho de tramite;384.47;0.069903
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - A (APROB. AUTOM. CON FIRMA DE PROFESIONAL. PARA REMODELACION DE UNA VIV. UNIFAMILIAR, SIN MODIFIC. ESTRUCTURAL, NI CAMBIO DE USO, NI AUMENTO DE  REA TECHADA);1;Derecho de tramite;373.79;0.067961
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - A (Aprob. autom. con firma de profesional. Para la construc. de cercos de m s de 20 metros de longitud, el predio no es de propiedad exclusiva o comun);1;Derecho de tramite;373.79;0.067961
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - A (Aprob. autom. con firma de profesional. Para demolici¢n total de edificac. hasta tres pisos de altura, sin semis¢tano, s¢tanos, no hacer uso de explosivos);1;Derecho de tramite;384.47;0.069903
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - A (Aprob. autom. con firma de profesional. Para ampliacion y remodelacion de obras menores, seg£n la norma tec. G.040 del RNE);1;Derecho de tramite;373.79;0.067961
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - A (Aprob. autom. con firma de profesional. para edific. Corresp. a Prog. promovidos por el Sector Vivienda, Bono Familiar Habitacional);1;Derecho de tramite;266.99;0.048544
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - A (Aprob. autom. con firma de profesional. Para el desarrollo de proy. de invers. p£b. o priv., para la prestaci¢n de serv. P£b. o infraest. p£b.);1;Derecho de tramite;768.93;0.139806
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - A (Aprob. autom. con firma de profesional. Para edific. de las FF.AA., PNP, asi como de reclusion penal);1;Derecho de tramite;375.93;0.06835
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - A (Aprob. autom. con firma de profesional.  Para edificaciones de Universidades Nacionales);1;Derecho de tramite;277.67;0.050485
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - A (Aprob. autom. con firma de profesional. Para edificaciones de establecimientos de salud estatales);1;Derecho de tramite;277.67;0.050485
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - A (para edificaciones de instituciones educativas estatales);1;Derecho de tramite;277.67;0.050485
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - B (proy. con evaluac. de la munic. Para edific. con fines de viv. Unifamiliar y/o multifamiliar no mayores a cinco pisos), max. 3000 m2 area techada;1;Derecho de tramite;576.70;0.104854
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - B (proy. con evaluac. previa por revisores urb. Para edific. de viv. Unifamiliar y/o multifamiliar no mayores a cinco pisos), max. 3000 m2 area techada;1;Derecho de tramite;405.82;0.073786
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - B (Aprob. Proy. Evaluac. por la Munic. para construc. de cercos en inmuebles con r‚gimen de unidades inmobiliarias de prop. exclusiva o com£n);1;Derecho de tramite;501.94;0.091262
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - B (Aprob. proy. evaluac. previa revisores urb. para construc. de cercos en inmuebles con r‚gimen de unidades inmobiliarias de prop. exclusiva o com£n);1;Derecho de tramite;341.75;0.062136
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - B (Aprob. proy. evaluac. por la Munic. para obras de ampliac. o remodelac., para fines de viv., con modif. Estruct., aumento de  rea techada o cambio de uso);1;Derecho de tramite;555.34;0.100971
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - B (Aprob. proy. evaluac. previa revisores urb. para obras de ampliac. o remodel. con fines de viv., modif. estruct., aumento de  rea techada o cambio de uso);1;Derecho de tramite;384.47;0.069903
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - B (APROB. PROY. CON EVALUACI¢N POR LA MUNICIPALIDAD PARA DEMOLICION PARCIAL);1;Derecho de tramite;373.79;0.067961
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - B (Aprobaci¢n de proyecto con evaluaci¢n previa por los Revisores Urbanos para demolici¢n parcial);1;Derecho de tramite;384.47;0.069903
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - B (APROB. PROY. EVALUAC. MUNICIP. PARA DEMOLICI¢N TOTAL DE EDIFIC. HASTA (5) PISOS CON SEMISOTANO Y SOTANOS, NO USO DE EXPLOSIVOS);1;Derecho de tramite;373.79;0.067961
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - B (Aprob. proy. evaluac. Previa revisores urb. para demolici¢n total de edific. hasta (5) pisos con semis¢tano y s¢tanos, no uso de explosivos);1;Derecho de tramite;405.82;0.073786
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - B (Aprob. proy. evaluac. municip. para modif. proy. edific. de proy. integral aprobado con anterioridad o con plazo vencido);1;Derecho de tramite;373.79;0.067961
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - C (Aprob. proy. evaluac. previa por revisores urb. para modif. proy. edific. de proy. integral aprobado con anterioridad o con plazo vencido);1;Derecho de tramite;384.47;0.069903
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - C (Aprob. proy. con evaluac. previa de comision tec. Para edific. con fines de viv. Unifamiliar y/o multifamiliar, de mas a (5) pisos o 3000 m2 area techada);1;Derecho de tramite;833.01;0.151456
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - C (Aprob. proy. con evaluac. Previa de revisores urb. Para edific. con fines de viv. Unifamiliar y/o multifamiliar, de mas a (5) pisos o 3000 m2 area techada);1;Derecho de tramite;619.42;0.112621
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - C (Aprob. Proy. Evaluac. previa por la Comisi¢n T‚cnica para edificaciones con fines diferentes de vivienda a excepci¢n de las previstas en la Modalidad D);1;Derecho de tramite;822.33;0.149515
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - C  (Aprob. proy. con evaluac. previa por Revisores Urbanos para edificac. con fines diferentes de vivienda a excepci¢n de las previstas en la Modalidad D);1;Derecho de tramite;598.06;0.108738
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - C  (Aprobaci¢n de proyecto con evaluaci¢n previa por la Comisi¢n T‚cnica para edificaciones de uso mixto con vivienda);1;Derecho de tramite;822.33;0.149515
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - C  (Aprobaci¢n de proyecto con evaluaci¢n previa por los Revisores Urbanos para edificaciones de uso mixto con vivienda);1;Derecho de tramite;598.06;0.108738
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - C  (Aprob. proy. con evaluac. previa de Comisi¢n T‚c. de intervenciones a predios, declarados como Patrimonio Cultural de la Naci¢n);1;Derecho de tramite;768.93;0.139806
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - C  (Aprob. proy. con evaluac. previa deRevisores Urb. para intervenciones a predios, declarados como Patrimonio Cultural de la Naci¢n);1;Derecho de tramite;704.85;0.128155
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - C  (Aprob. proy. evaluac. previa por la Comisi¢n T‚c. para edificac. comerc., culturales, centros diversi¢n y  espect culos con un m x. 30 000 m2 de  rea techada);1;Derecho de tramite;1,281.56;0.23301
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - C  (Aprob. proy. evaluac. previa por revisores urb. para edificac. comerc., culturales, centros diversi¢n y  espect culos con un m x. 30 000 m2 de  rea techada);1;Derecho de tramite;1,174.76;0.213592
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - C  (Aprob. proy. evaluac. previa por comision tec. para edificac. mercados con un m x. 15 000 m2 de  rea techada);1;Derecho de tramite;1,281.56;0.23301
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - C  (Aprob. proy. evaluac. previa por revisores urb. para edificac. mercados con un m x. 15 000 m2 de  rea techada);1;Derecho de tramite;1,174.76;0.213592
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - C  (Aprob. proy. evaluac. previa por la comision tec. para locales de espectaculos deportivos de hasta 20 000 ocupantes);1;Derecho de tramite;1,281.56;0.23301
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - C  (Aprob. proy. evaluac. previa por los Revisores Urb. para locales de espectaculos deportivos de hasta 20 000 ocupantes);1;Derecho de tramite;1,174.76;0.213592
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - C  (Aprob. proy. evaluac. previa por la Comision Tec. para demolicion total de edificac. con mas de 5 pisos o que requiera uso de explosivos);1;Derecho de tramite;1,174.76;0.213592
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - C  (Aprob. proy. evaluac. previa por los revisores urb. para demolicion total de edificac. con mas de 5 pisos o que requieran uso de explosivos);1;Derecho de tramite;1,121.36;0.203884
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - C  (Aprob. proy. evaluac. previa por la comision tec. para todas las edificac. Que no se encuentren contempladas en las modalidades A, B y D);1;Derecho de tramite;1,174.76;0.213592
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - C  (Aprob. proy. evaluac. previa por los revisores urb. Para ampliacion, remodelacion y/o demolicion parcial);1;Derecho de tramite;1,281.56;0.23301
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - C  (Aprob. proy. evaluac. previa por los revisores urb. para todas las edificac. que no se encuentren contempladas en las modalidades A, B y D);1;Derecho de tramite;1,121.36;0.203884
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - C  (Aprob. proy. evaluac. previa por la comision tec. para ampliacion, remodelacion y/o demolicion parcial);1;Derecho de tramite;1,121.36;0.203884
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - D  (Aprob. proy. evaluac. previa por la comision tec. para edificacionescon fines de industria);1;Derecho de tramite;1,281.56;0.23301
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - D  (Aprob. proy. evaluac. previa por revisores urb. para edificaciones con fines de industria);1;Derecho de tramite;1,174.76;0.213592
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - D  (Aprob. proy. evaluac. previa por comision tec. para edificac. comerciales, culturales y centros de diversion con mas de 30 000 m2 de area techada);1;Derecho de tramite;1,388.35;0.252427
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - D  (Aprob. proy. evaluac. previa por revisores urb. para edificac. comerciales, culturales y centros de diversion con mas de 30 000 m2 de area techada);1;Derecho de tramite;1,281.56;0.23301
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - D  (Aprob. proy. evaluac. previa por la comision tec. para edificac. de mercados con mas de 15 000 m2 de area techada);1;Derecho de tramite;1,388.35;0.252427
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - D  (Aprob. proy. evaluac. previa por revisores urb. para edificac. de mercados con mas de 15 000 m2 de area techada);1;Derecho de tramite;1,281.56;0.23301
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - D  (Aprob. proy. evaluac. previa por la comision tec. para locales de espectaculos deportivos de 20 000 ocupantes);1;Derecho de tramite;1,388.35;0.252427
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - D  (Aprob. proy. evaluac. previa por revisores urb. para locales de espectaculos deportivos de 20 000 ocupantes);1;Derecho de tramite;1,174.76;0.213592
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - D  (Aprob. proy. evaluac. previa por comisiopn tec. para edificac. con fines educativos, salud, establecim. de expendio de combustible y terminales de transporte);1;Derecho de tramite;1,388.35;0.252427
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - D  (Aprob. proy. evaluac. previa por revisores urb. para edificac. fines educativos, salud, hospedajes, establecim. expendio combustible y terminales de trans.);1;Derecho de tramite;1,281.56;0.23301
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - D  (Aprob. proy. evaluac. previa por comision tec. para ampliacion, remodelacion y/o demolicion parcial);1;Derecho de tramite;1,281.56;0.23301
SUB GERENCIA DE OBRAS PRIVADAS;LICENCIA DE EDIFICACION MODALIDAD - D  (Aprob. proy. evaluac. previa por revisores urb. para ampliacion, remodelacion y/o demolicion parcial);1;Derecho de tramite;1,174.76;0.213592
